"Actions","WIID","Description","Type","Status","Date"
"    ","696171","Verify Account Position","WI1","Open","2017-07-26"
"    ","125172","Research Client Check Copy","WI2","Open","2017-05-11"
"    ","575941","Verify Account Position","WI1","Open","2017-03-05"
"    ","777355","Calculate Client Security Hash","WI5","Open","2018-10-29"
"    ","650054","Generate Yearly Report for Vendor","WI4","Open","2018-03-16"
"    ","770784","Generate Yearly Report for Vendor","WI4","Open","2017-12-20"
"    ","854791","Verify Account Position","WI1","Open","2019-10-04"
"    ","371762","Research Client Check Copy","WI2","Open","2017-09-11"
"    ","583683","Process Vendor Invoice","WI3","Open","2017-03-10"
"    ","130314","Generate Yearly Report for Vendor","WI4","Open","2017-06-30"
